t_s,phase,channel,unit,value
0.101,static,VCCINT_V,V,0.805
0.101,static,VCCINT_I,A,4.849
0.101,static,VCCINT,W,3.9065
0.101,static,VCC_SOC_V,V,0.805
0.101,static,VCC_SOC_I,A,3.9301
0.151,static,VCC_SOC,W,3.1664
0.151,static,VCC_PMC_V,V,0.8788
0.151,static,VCC_PMC_I,A,0.152
0.151,static,VCC_PMC,W,0.1336
0.151,static,VCC_PSFP_V,V,0.88
0.151,static,VCC_PSFP_I,A,0.192
0.151,static,VCC_PSFP,W,0.1709
0.151,static,VCC_PSLP_CPM5_V,V,0.8788
0.151,static,VCC_PSLP_CPM5_I,A,1.9585
0.151,static,VCC_PSLP_CPM5,W,1.7213
0.151,static,VCC1V1_LP4_V,V,1.1013
0.151,static,VCC1V1_LP4_I,A,1.09
0.151,static,VCC1V1_LP4,W,1.1953
0.202,static,VCCAUX_V,V,1.5037
0.202,static,VCCAUX_I,A,0.7595
0.202,static,VCCAUX,W,1.1414
0.202,static,VCCAUX_PMC_V,V,1.5037
0.202,static,VCCAUX_PMC_I,A,0.088
0.202,static,VCCAUX_PMC,W,0.132
0.704,static,VCCINT_V,V,0.805
0.704,static,VCCINT_I,A,4.849
0.704,static,VCCINT,W,3.9065
0.755,static,VCC_SOC_V,V,0.8062
0.755,static,VCC_SOC_I,A,3.9202
0.755,static,VCC_SOC,W,3.1473
0.755,static,VCC_PMC_V,V,0.8775
0.755,static,VCC_PMC_I,A,0.152
0.755,static,VCC_PMC,W,0.1328
0.755,static,VCC_PSFP_V,V,0.88
0.755,static,VCC_PSFP_I,A,0.1904
0.755,static,VCC_PSFP,W,0.1679
0.755,static,VCC_PSLP_CPM5_V,V,0.8775
0.755,static,VCC_PSLP_CPM5_I,A,1.9585
0.755,static,VCC_PSLP_CPM5,W,1.7167
0.755,static,VCC1V1_LP4_V,V,1.1013
0.755,static,VCC1V1_LP4_I,A,1.09
0.755,static,VCC1V1_LP4,W,1.1953
0.755,static,VCCAUX_V,V,1.5037
0.805,static,VCCAUX_I,A,0.7595
0.805,static,VCCAUX,W,1.1414
0.805,static,VCCAUX_PMC_V,V,1.5025
0.805,static,VCCAUX_PMC_I,A,0.0875
0.805,static,VCCAUX_PMC,W,0.132
1.308,static,VCCINT_V,V,0.805
1.308,static,VCCINT_I,A,4.6488
1.308,static,VCCINT,W,3.7845
1.308,static,VCC_SOC_V,V,0.8062
1.308,static,VCC_SOC_I,A,3.9202
1.358,static,VCC_SOC,W,3.1473
1.358,static,VCC_PMC_V,V,0.8775
1.358,static,VCC_PMC_I,A,0.152
1.358,static,VCC_PMC,W,0.1328
1.358,static,VCC_PSFP_V,V,0.8813
1.358,static,VCC_PSFP_I,A,0.1904
1.358,static,VCC_PSFP,W,0.1679
1.358,static,VCC_PSLP_CPM5_V,V,0.8788
1.358,static,VCC_PSLP_CPM5_I,A,1.959
1.358,static,VCC_PSLP_CPM5,W,1.7167
1.358,static,VCC1V1_LP4_V,V,1.1025
1.358,static,VCC1V1_LP4_I,A,1.085
1.409,static,VCC1V1_LP4,W,1.1875
1.409,static,VCCAUX_V,V,1.5037
1.409,static,VCCAUX_I,A,0.7599
1.409,static,VCCAUX,W,1.1414
1.409,static,VCCAUX_PMC_V,V,1.5037
1.409,static,VCCAUX_PMC_I,A,0.088
1.409,static,VCCAUX_PMC,W,0.132
1.911,static,VCCINT_V,V,0.805
1.911,static,VCCINT_I,A,4.8246
1.911,static,VCCINT,W,3.9065
1.911,static,VCC_SOC_V,V,0.8062
1.911,static,VCC_SOC_I,A,3.9301
1.911,static,VCC_SOC,W,3.1664
1.961,static,VCC_PMC_V,V,0.8775
1.961,static,VCC_PMC_I,A,0.152
1.961,static,VCC_PMC,W,0.1328
1.961,static,VCC_PSFP_V,V,0.8813
1.961,static,VCC_PSFP_I,A,0.5144
1.961,static,VCC_PSFP,W,0.1679
1.961,static,VCC_PSLP_CPM5_V,V,0.8788
1.961,static,VCC_PSLP_CPM5_I,A,1.959
1.961,static,VCC_PSLP_CPM5,W,1.7213
1.961,static,VCC1V1_LP4_V,V,1.1025
1.961,static,VCC1V1_LP4_I,A,1.09
1.961,static,VCC1V1_LP4,W,1.2032
2.012,static,VCCAUX_V,V,1.5025
2.012,static,VCCAUX_I,A,0.7595
2.012,static,VCCAUX,W,1.1414
2.012,static,VCCAUX_PMC_V,V,1.5037
2.012,static,VCCAUX_PMC_I,A,0.088
2.012,static,VCCAUX_PMC,W,0.132
2.514,static,VCCINT_V,V,0.805
2.514,static,VCCINT_I,A,5.2006
2.514,static,VCCINT,W,4.2728
2.514,static,VCC_SOC_V,V,0.8062
2.514,static,VCC_SOC_I,A,3.9248
2.514,static,VCC_SOC,W,3.1473
2.514,static,VCC_PMC_V,V,0.8775
2.514,static,VCC_PMC_I,A,0.152
2.564,static,VCC_PMC,W,0.1336
2.564,static,VCC_PSFP_V,V,0.88
2.564,static,VCC_PSFP_I,A,0.1904
2.564,static,VCC_PSFP,W,0.1679
2.564,static,VCC_PSLP_CPM5_V,V,0.8788
2.564,static,VCC_PSLP_CPM5_I,A,1.9585
2.564,static,VCC_PSLP_CPM5,W,1.7167
2.564,static,VCC1V1_LP4_V,V,1.1025
2.564,static,VCC1V1_LP4_I,A,1.09
2.564,static,VCC1V1_LP4,W,1.1953
2.564,static,VCCAUX_V,V,1.5037
2.564,static,VCCAUX_I,A,0.758
2.615,static,VCCAUX,W,1.1414
2.615,static,VCCAUX_PMC_V,V,1.5025
2.615,static,VCCAUX_PMC_I,A,0.0875
2.615,static,VCCAUX_PMC,W,0.132
3.117,static,VCCINT_V,V,0.805
3.117,static,VCCINT_I,A,4.473
3.117,static,VCCINT,W,3.6624
3.117,static,VCC_SOC_V,V,0.8062
3.117,static,VCC_SOC_I,A,3.9599
3.117,static,VCC_SOC,W,3.1664
3.168,static,VCC_PMC_V,V,0.8788
3.168,static,VCC_PMC_I,A,0.152
3.168,static,VCC_PMC,W,0.1336
3.168,static,VCC_PSFP_V,V,0.88
3.168,static,VCC_PSFP_I,A,0.2705
3.168,static,VCC_PSFP,W,0.235
3.168,static,VCC_PSLP_CPM5_V,V,0.8788
3.168,static,VCC_PSLP_CPM5_I,A,1.959
3.168,static,VCC_PSLP_CPM5,W,1.7213
3.168,static,VCC1V1_LP4_V,V,1.1025
3.168,static,VCC1V1_LP4_I,A,1.09
3.168,static,VCC1V1_LP4,W,1.2032
3.218,static,VCCAUX_V,V,1.5037
3.218,static,VCCAUX_I,A,0.758
3.218,static,VCCAUX,W,1.1414
3.218,static,VCCAUX_PMC_V,V,1.5037
3.218,static,VCCAUX_PMC_I,A,0.0875
3.218,static,VCCAUX_PMC,W,0.132
3.721,static,VCCINT_V,V,0.805
3.721,static,VCCINT_I,A,4.473
3.721,static,VCCINT,W,3.5403
3.721,static,VCC_SOC_V,V,0.8062
3.721,static,VCC_SOC_I,A,3.9248
3.721,static,VCC_SOC,W,3.1664
3.721,static,VCC_PMC_V,V,0.8775
3.771,static,VCC_PMC_I,A,0.152
3.771,static,VCC_PMC,W,0.1336
3.771,static,VCC_PSFP_V,V,0.88
3.771,static,VCC_PSFP_I,A,0.1904
3.771,static,VCC_PSFP,W,0.1709
3.771,static,VCC_PSLP_CPM5_V,V,0.8788
3.771,static,VCC_PSLP_CPM5_I,A,1.959
3.771,static,VCC_PSLP_CPM5,W,1.7213
3.771,static,VCC1V1_LP4_V,V,1.1013
3.771,static,VCC1V1_LP4_I,A,1.09
3.771,static,VCC1V1_LP4,W,1.1953
3.771,static,VCCAUX_V,V,1.5037
3.821,static,VCCAUX_I,A,0.7585
3.821,static,VCCAUX,W,1.1414
3.821,static,VCCAUX_PMC_V,V,1.5037
3.821,static,VCCAUX_PMC_I,A,0.088
3.821,static,VCCAUX_PMC,W,0.132
4.324,static,VCCINT_V,V,0.805
4.324,static,VCCINT_I,A,4.7757
4.324,static,VCCINT,W,3.7845
4.324,static,VCC_SOC_V,V,0.8062
4.324,static,VCC_SOC_I,A,3.9248
4.324,static,VCC_SOC,W,3.1664
4.324,static,VCC_PMC_V,V,0.8775
4.324,static,VCC_PMC_I,A,0.152
4.374,static,VCC_PMC,W,0.1328
4.374,static,VCC_PSFP_V,V,0.88
4.374,static,VCC_PSFP_I,A,0.4285
4.374,static,VCC_PSFP,W,0.3784
4.374,static,VCC_PSLP_CPM5_V,V,0.8788
4.374,static,VCC_PSLP_CPM5_I,A,1.9585
4.374,static,VCC_PSLP_CPM5,W,1.7167
4.374,static,VCC1V1_LP4_V,V,1.1025
4.374,static,VCC1V1_LP4_I,A,1.09
4.374,static,VCC1V1_LP4,W,1.2032
4.374,static,VCCAUX_V,V,1.5037
4.374,static,VCCAUX_I,A,0.7595
4.374,static,VCCAUX,W,1.1445
4.425,static,VCCAUX_PMC_V,V,1.5025
4.425,static,VCCAUX_PMC_I,A,0.088
4.425,static,VCCAUX_PMC,W,0.1328
4.927,static,VCCINT_V,V,0.805
4.927,static,VCCINT_I,A,5.098
4.927,static,VCCINT,W,4.1507
4.927,static,VCC_SOC_V,V,0.805
4.927,static,VCC_SOC_I,A,3.9248
4.927,static,VCC_SOC,W,3.1473
4.978,static,VCC_PMC_V,V,0.8775
4.978,static,VCC_PMC_I,A,0.152
4.978,static,VCC_PMC,W,0.1328
4.978,static,VCC_PSFP_V,V,0.88
4.978,static,VCC_PSFP_I,A,0.1904
4.978,static,VCC_PSFP,W,0.1648
4.978,static,VCC_PSLP_CPM5_V,V,0.8788
4.978,static,VCC_PSLP_CPM5_I,A,1.959
4.978,static,VCC_PSLP_CPM5,W,1.7213
4.978,static,VCC1V1_LP4_V,V,1.1013
4.978,static,VCC1V1_LP4_I,A,1.085
4.978,static,VCC1V1_LP4,W,1.1953
4.978,static,VCCAUX_V,V,1.5037
4.978,static,VCCAUX_I,A,0.7599
4.978,static,VCCAUX,W,1.1445
5.028,static,VCCAUX_PMC_V,V,1.5037
5.028,static,VCCAUX_PMC_I,A,0.0885
5.028,static,VCCAUX_PMC,W,0.132
5.530,static,VCCINT_V,V,0.805
5.530,static,VCCINT_I,A,4.6976
5.530,static,VCCINT,W,3.7845
5.530,static,VCC_SOC_V,V,0.8062
5.530,static,VCC_SOC_I,A,3.9248
5.530,static,VCC_SOC,W,3.1473
5.581,static,VCC_PMC_V,V,0.8788
5.581,static,VCC_PMC_I,A,0.1515
5.581,static,VCC_PMC,W,0.1328
5.581,static,VCC_PSFP_V,V,0.88
5.581,static,VCC_PSFP_I,A,0.19
5.581,static,VCC_PSFP,W,0.1648
5.581,static,VCC_PSLP_CPM5_V,V,0.8775
5.581,static,VCC_PSLP_CPM5_I,A,1.959
5.581,static,VCC_PSLP_CPM5,W,1.7213
5.581,static,VCC1V1_LP4_V,V,1.1025
5.581,static,VCC1V1_LP4_I,A,1.085
5.581,static,VCC1V1_LP4,W,1.1953
5.631,static,VCCAUX_V,V,1.5037
5.631,static,VCCAUX_I,A,0.758
5.631,static,VCCAUX,W,1.1414
5.631,static,VCCAUX_PMC_V,V,1.5037
5.631,static,VCCAUX_PMC_I,A,0.0885
5.631,static,VCCAUX_PMC,W,0.1328
6.134,static,VCCINT_V,V,0.805
6.134,static,VCCINT_I,A,5.0004
6.134,static,VCCINT,W,3.9065
6.134,static,VCC_SOC_V,V,0.8062
6.134,static,VCC_SOC_I,A,3.9202
6.134,static,VCC_SOC,W,3.1473
6.134,static,VCC_PMC_V,V,0.8788
6.184,static,VCC_PMC_I,A,0.152
6.184,static,VCC_PMC,W,0.1328
6.184,static,VCC_PSFP_V,V,0.8813
6.184,static,VCC_PSFP_I,A,0.19
6.184,static,VCC_PSFP,W,0.1679
6.184,static,VCC_PSLP_CPM5_V,V,0.8788
6.184,static,VCC_PSLP_CPM5_I,A,1.9585
6.184,static,VCC_PSLP_CPM5,W,1.7167
6.184,static,VCC1V1_LP4_V,V,1.1013
6.184,static,VCC1V1_LP4_I,A,1.09
6.184,static,VCC1V1_LP4,W,1.1953
6.184,static,VCCAUX_V,V,1.5037
6.234,static,VCCAUX_I,A,0.759
6.234,static,VCCAUX,W,1.1414
6.234,static,VCCAUX_PMC_V,V,1.5037
6.234,static,VCCAUX_PMC_I,A,0.088
6.234,static,VCCAUX_PMC,W,0.132
6.736,static,VCCINT_V,V,0.805
6.736,static,VCCINT_I,A,5.2006
6.736,static,VCCINT,W,4.1507
6.736,static,VCC_SOC_V,V,0.8062
6.786,static,VCC_SOC_I,A,3.9202
6.786,static,VCC_SOC,W,3.1473
6.786,static,VCC_PMC_V,V,0.8788
6.786,static,VCC_PMC_I,A,0.152
6.786,static,VCC_PMC,W,0.1336
6.786,static,VCC_PSFP_V,V,0.88
6.786,static,VCC_PSFP_I,A,0.19
6.786,static,VCC_PSFP,W,0.1679
6.786,static,VCC_PSLP_CPM5_V,V,0.8788
6.786,static,VCC_PSLP_CPM5_I,A,1.9585
6.786,static,VCC_PSLP_CPM5,W,1.7167
6.786,static,VCC1V1_LP4_V,V,1.1025
6.787,static,VCC1V1_LP4_I,A,1.09
6.787,static,VCC1V1_LP4,W,1.2032
6.787,static,VCCAUX_V,V,1.5037
6.787,static,VCCAUX_I,A,0.7599
6.837,static,VCCAUX,W,1.1445
6.837,static,VCCAUX_PMC_V,V,1.5025
6.837,static,VCCAUX_PMC_I,A,0.088
6.837,static,VCCAUX_PMC,W,0.132
7.339,static,VCCINT_V,V,0.805
7.339,static,VCCINT_I,A,5.0492
7.339,static,VCCINT,W,4.0286
7.339,static,VCC_SOC_V,V,0.8062
7.339,static,VCC_SOC_I,A,3.9202
7.339,static,VCC_SOC,W,3.1664
7.389,static,VCC_PMC_V,V,0.8788
7.389,static,VCC_PMC_I,A,0.152
7.389,static,VCC_PMC,W,0.1336
7.389,static,VCC_PSFP_V,V,0.8813
7.389,static,VCC_PSFP_I,A,0.1925
7.389,static,VCC_PSFP,W,0.1709
7.389,static,VCC_PSLP_CPM5_V,V,0.8788
7.389,static,VCC_PSLP_CPM5_I,A,1.959
7.389,static,VCC_PSLP_CPM5,W,1.7213
7.389,static,VCC1V1_LP4_V,V,1.1025
7.389,static,VCC1V1_LP4_I,A,1.11
7.389,static,VCC1V1_LP4,W,1.2188
7.439,static,VCCAUX_V,V,1.5037
7.439,static,VCCAUX_I,A,0.7595
7.439,static,VCCAUX,W,1.1414
7.439,static,VCCAUX_PMC_V,V,1.5025
7.439,static,VCCAUX_PMC_I,A,0.088
7.439,static,VCCAUX_PMC,W,0.132
7.941,static,VCCINT_V,V,0.805
7.941,static,VCCINT_I,A,4.8246
7.942,static,VCCINT,W,3.9065
7.942,static,VCC_SOC_V,V,0.8062
7.942,static,VCC_SOC_I,A,3.9202
7.942,static,VCC_SOC,W,3.1473
7.992,static,VCC_PMC_V,V,0.8775
7.992,static,VCC_PMC_I,A,0.152
7.992,static,VCC_PMC,W,0.1328
7.992,static,VCC_PSFP_V,V,0.88
7.992,static,VCC_PSFP_I,A,0.19
7.992,static,VCC_PSFP,W,0.1679
7.992,static,VCC_PSLP_CPM5_V,V,0.8788
7.992,static,VCC_PSLP_CPM5_I,A,1.9585
7.992,static,VCC_PSLP_CPM5,W,1.7167
7.992,static,VCC1V1_LP4_V,V,1.1025
7.992,static,VCC1V1_LP4_I,A,1.09
7.992,static,VCC1V1_LP4,W,1.1953
8.042,static,VCCAUX_V,V,1.5037
8.042,static,VCCAUX_I,A,0.7585
8.042,static,VCCAUX,W,1.1414
8.042,static,VCCAUX_PMC_V,V,1.5025
8.042,static,VCCAUX_PMC_I,A,0.088
8.042,static,VCCAUX_PMC,W,0.132
8.544,static,VCCINT_V,V,0.8062
8.544,static,VCCINT_I,A,5.098
8.544,static,VCCINT,W,4.0286
8.544,static,VCC_SOC_V,V,0.805
8.594,static,VCC_SOC_I,A,3.9553
8.594,static,VCC_SOC,W,3.1855
8.594,static,VCC_PMC_V,V,0.8775
8.594,static,VCC_PMC_I,A,0.152
8.594,static,VCC_PMC,W,0.1328
8.594,static,VCC_PSFP_V,V,0.88
8.594,static,VCC_PSFP_I,A,0.2045
8.594,static,VCC_PSFP,W,0.1801
8.594,static,VCC_PSLP_CPM5_V,V,0.8788
8.594,static,VCC_PSLP_CPM5_I,A,1.9585
8.594,static,VCC_PSLP_CPM5,W,1.7167
8.594,static,VCC1V1_LP4_V,V,1.1013
8.594,static,VCC1V1_LP4_I,A,1.085
8.594,static,VCC1V1_LP4,W,1.1953
8.594,static,VCCAUX_V,V,1.5037
8.594,static,VCCAUX_I,A,0.758
8.594,static,VCCAUX,W,1.1414
8.644,static,VCCAUX_PMC_V,V,1.5037
8.644,static,VCCAUX_PMC_I,A,0.088
8.644,static,VCCAUX_PMC,W,0.132
9.146,static,VCCINT_V,V,0.805
9.146,static,VCCINT_I,A,4.6244
9.146,static,VCCINT,W,3.7845
9.146,static,VCC_SOC_V,V,0.8062
9.146,static,VCC_SOC_I,A,3.9248
9.146,static,VCC_SOC,W,3.1473
9.197,static,VCC_PMC_V,V,0.8775
9.197,static,VCC_PMC_I,A,0.152
9.197,static,VCC_PMC,W,0.1336
9.197,static,VCC_PSFP_V,V,0.88
9.197,static,VCC_PSFP_I,A,0.19
9.197,static,VCC_PSFP,W,0.1679
9.197,static,VCC_PSLP_CPM5_V,V,0.8788
9.197,static,VCC_PSLP_CPM5_I,A,1.959
9.197,static,VCC_PSLP_CPM5,W,1.7213
9.197,static,VCC1V1_LP4_V,V,1.1013
9.197,static,VCC1V1_LP4_I,A,1.09
9.197,static,VCC1V1_LP4,W,1.1953
9.247,static,VCCAUX_V,V,1.5037
9.247,static,VCCAUX_I,A,0.758
9.247,static,VCCAUX,W,1.1414
9.247,static,VCCAUX_PMC_V,V,1.5025
9.247,static,VCCAUX_PMC_I,A,0.088
9.247,static,VCCAUX_PMC,W,0.132
9.749,static,VCCINT_V,V,0.8062
9.749,static,VCCINT_I,A,4.3997
9.749,static,VCCINT,W,3.5403
9.749,static,VCC_SOC_V,V,0.8062
9.749,static,VCC_SOC_I,A,3.95
9.749,static,VCC_SOC,W,3.1855
9.749,static,VCC_PMC_V,V,0.8775
9.799,static,VCC_PMC_I,A,0.152
9.799,static,VCC_PMC,W,0.1336
9.799,static,VCC_PSFP_V,V,0.88
9.799,static,VCC_PSFP_I,A,0.1925
9.799,static,VCC_PSFP,W,0.1679
9.799,static,VCC_PSLP_CPM5_V,V,0.8788
9.799,static,VCC_PSLP_CPM5_I,A,1.959
9.799,static,VCC_PSLP_CPM5,W,1.7259
9.799,static,VCC1V1_LP4_V,V,1.1013
9.799,static,VCC1V1_LP4_I,A,1.09
9.799,static,VCC1V1_LP4,W,1.2032
9.849,static,VCCAUX_V,V,1.5037
9.849,static,VCCAUX_I,A,0.7585
9.849,static,VCCAUX,W,1.1414
9.849,static,VCCAUX_PMC_V,V,1.5025
9.849,static,VCCAUX_PMC_I,A,0.0875
9.849,static,VCCAUX_PMC,W,0.132
10.351,static,VCCINT_V,V,0.805
10.351,static,VCCINT_I,A,4.7513
10.351,static,VCCINT,W,3.9065
10.351,static,VCC_SOC_V,V,0.8062
10.401,static,VCC_SOC_I,A,3.9248
10.401,static,VCC_SOC,W,3.1473
10.401,static,VCC_PMC_V,V,0.8775
10.401,static,VCC_PMC_I,A,0.152
10.401,static,VCC_PMC,W,0.1336
10.401,static,VCC_PSFP_V,V,0.8813
10.401,static,VCC_PSFP_I,A,0.19
10.401,static,VCC_PSFP,W,0.1679
10.401,static,VCC_PSLP_CPM5_V,V,0.8788
10.401,static,VCC_PSLP_CPM5_I,A,1.9596
10.401,static,VCC_PSLP_CPM5,W,1.7259
10.401,static,VCC1V1_LP4_V,V,1.1013
10.401,static,VCC1V1_LP4_I,A,1.09
10.401,static,VCC1V1_LP4,W,1.1953
10.401,static,VCCAUX_V,V,1.5037
10.401,static,VCCAUX_I,A,0.7599
10.401,static,VCCAUX,W,1.1445
10.451,static,VCCAUX_PMC_V,V,1.5037
10.451,static,VCCAUX_PMC_I,A,0.088
10.451,static,VCCAUX_PMC,W,0.132
10.954,static,VCCINT_V,V,0.805
10.954,static,VCCINT_I,A,4.8734
10.954,static,VCCINT,W,3.9065
10.954,static,VCC_SOC_V,V,0.8062
10.954,static,VCC_SOC_I,A,3.94
10.954,static,VCC_SOC,W,3.1664
11.004,static,VCC_PMC_V,V,0.8775
11.004,static,VCC_PMC_I,A,0.1515
11.004,static,VCC_PMC,W,0.1328
11.004,static,VCC_PSFP_V,V,0.88
11.004,static,VCC_PSFP_I,A,0.194
11.004,static,VCC_PSFP,W,0.1709
11.004,static,VCC_PSLP_CPM5_V,V,0.8775
11.004,static,VCC_PSLP_CPM5_I,A,1.959
11.004,static,VCC_PSLP_CPM5,W,1.7167
11.004,static,VCC1V1_LP4_V,V,1.1025
11.004,static,VCC1V1_LP4_I,A,1.09
11.004,static,VCC1V1_LP4,W,1.1953
11.054,static,VCCAUX_V,V,1.5037
11.054,static,VCCAUX_I,A,0.7599
11.054,static,VCCAUX,W,1.1445
11.054,static,VCCAUX_PMC_V,V,1.5037
11.054,static,VCCAUX_PMC_I,A,0.088
11.054,static,VCCAUX_PMC,W,0.132
11.556,static,VCCINT_V,V,0.805
11.556,static,VCCINT_I,A,4.9515
11.556,static,VCCINT,W,3.9065
11.556,static,VCC_SOC_V,V,0.8062
11.556,static,VCC_SOC_I,A,3.9248
11.556,static,VCC_SOC,W,3.1664
11.556,static,VCC_PMC_V,V,0.8775
11.606,static,VCC_PMC_I,A,0.152
11.606,static,VCC_PMC,W,0.1328
11.606,static,VCC_PSFP_V,V,0.8813
11.606,static,VCC_PSFP_I,A,0.1915
11.606,static,VCC_PSFP,W,0.1679
11.606,static,VCC_PSLP_CPM5_V,V,0.8788
11.606,static,VCC_PSLP_CPM5_I,A,1.959
11.606,static,VCC_PSLP_CPM5,W,1.7213
11.606,static,VCC1V1_LP4_V,V,1.1025
11.606,static,VCC1V1_LP4_I,A,1.09
11.606,static,VCC1V1_LP4,W,1.2032
11.606,static,VCCAUX_V,V,1.5037
11.656,static,VCCAUX_I,A,0.7585
11.656,static,VCCAUX,W,1.1414
11.656,static,VCCAUX_PMC_V,V,1.5025
11.656,static,VCCAUX_PMC_I,A,0.0885
11.656,static,VCCAUX_PMC,W,0.1328
12.158,static,VCCINT_V,V,0.805
12.158,static,VCCINT_I,A,4.5023
12.158,static,VCCINT,W,3.6624
12.158,static,VCC_SOC_V,V,0.8062
12.158,static,VCC_SOC_I,A,3.9301
12.208,static,VCC_SOC,W,3.1473
12.208,static,VCC_PMC_V,V,0.8775
12.208,static,VCC_PMC_I,A,0.152
12.208,static,VCC_PMC,W,0.1328
12.208,static,VCC_PSFP_V,V,0.88
12.208,static,VCC_PSFP_I,A,0.1904
12.208,static,VCC_PSFP,W,0.1709
12.208,static,VCC_PSLP_CPM5_V,V,0.8788
12.208,static,VCC_PSLP_CPM5_I,A,1.959
12.208,static,VCC_PSLP_CPM5,W,1.7213
12.208,static,VCC1V1_LP4_V,V,1.1025
12.208,static,VCC1V1_LP4_I,A,1.09
12.258,static,VCC1V1_LP4,W,1.1953
12.258,static,VCCAUX_V,V,1.5025
12.258,static,VCCAUX_I,A,0.759
12.258,static,VCCAUX,W,1.1414
12.258,static,VCCAUX_PMC_V,V,1.5025
12.258,static,VCCAUX_PMC_I,A,0.0885
12.258,static,VCCAUX_PMC,W,0.1328
12.760,static,VCCINT_V,V,0.805
12.760,static,VCCINT_I,A,4.9271
12.760,static,VCCINT,W,3.9065
12.760,static,VCC_SOC_V,V,0.8062
12.760,static,VCC_SOC_I,A,3.9202
12.760,static,VCC_SOC,W,3.1473
12.810,static,VCC_PMC_V,V,0.8775
12.810,static,VCC_PMC_I,A,0.152
12.810,static,VCC_PMC,W,0.1336
12.810,static,VCC_PSFP_V,V,0.88
12.810,static,VCC_PSFP_I,A,0.1965
12.810,static,VCC_PSFP,W,0.174
12.810,static,VCC_PSLP_CPM5_V,V,0.8775
12.810,static,VCC_PSLP_CPM5_I,A,1.9585
12.810,static,VCC_PSLP_CPM5,W,1.7213
12.810,static,VCC1V1_LP4_V,V,1.1025
12.810,static,VCC1V1_LP4_I,A,1.09
12.810,static,VCC1V1_LP4,W,1.2032
12.861,static,VCCAUX_V,V,1.5037
12.861,static,VCCAUX_I,A,0.7599
12.861,static,VCCAUX,W,1.1445
12.861,static,VCCAUX_PMC_V,V,1.5037
12.861,static,VCCAUX_PMC_I,A,0.088
12.861,static,VCCAUX_PMC,W,0.132
13.362,static,VCCINT_V,V,0.805
13.362,static,VCCINT_I,A,5.098
13.362,static,VCCINT,W,4.1507
13.362,static,VCC_SOC_V,V,0.805
13.362,static,VCC_SOC_I,A,3.9202
13.362,static,VCC_SOC,W,3.1473
13.362,static,VCC_PMC_V,V,0.8775
13.412,static,VCC_PMC_I,A,0.152
13.412,static,VCC_PMC,W,0.1336
13.412,static,VCC_PSFP_V,V,0.88
13.412,static,VCC_PSFP_I,A,0.19
13.412,static,VCC_PSFP,W,0.1648
13.412,static,VCC_PSLP_CPM5_V,V,0.8788
13.412,static,VCC_PSLP_CPM5_I,A,1.959
13.412,static,VCC_PSLP_CPM5,W,1.7213
13.412,static,VCC1V1_LP4_V,V,1.1013
13.412,static,VCC1V1_LP4_I,A,1.085
13.412,static,VCC1V1_LP4,W,1.1953
13.463,static,VCCAUX_V,V,1.5025
13.463,static,VCCAUX_I,A,0.7595
13.463,static,VCCAUX,W,1.1414
13.463,static,VCCAUX_PMC_V,V,1.5025
13.463,static,VCCAUX_PMC_I,A,0.088
13.463,static,VCCAUX_PMC,W,0.132
13.964,static,VCCINT_V,V,0.805
13.964,static,VCCINT_I,A,4.5999
13.964,static,VCCINT,W,3.7845
13.964,static,VCC_SOC_V,V,0.8062
14.015,static,VCC_SOC_I,A,3.9301
14.015,static,VCC_SOC,W,3.1473
14.015,static,VCC_PMC_V,V,0.8775
14.015,static,VCC_PMC_I,A,0.152
14.015,static,VCC_PMC,W,0.1328
14.015,static,VCC_PSFP_V,V,0.88
14.015,static,VCC_PSFP_I,A,0.2431
14.015,static,VCC_PSFP,W,0.2136
14.015,static,VCC_PSLP_CPM5_V,V,0.8788
14.015,static,VCC_PSLP_CPM5_I,A,1.9585
14.015,static,VCC_PSLP_CPM5,W,1.7213
14.065,static,VCC1V1_LP4_V,V,1.1013
14.065,static,VCC1V1_LP4_I,A,1.095
14.065,static,VCC1V1_LP4,W,1.2032
14.065,static,VCCAUX_V,V,1.5037
14.065,static,VCCAUX_I,A,0.7585
14.065,static,VCCAUX,W,1.1414
14.065,static,VCCAUX_PMC_V,V,1.5025
14.065,static,VCCAUX_PMC_I,A,0.088
14.065,static,VCCAUX_PMC,W,0.132
14.567,static,VCCINT_V,V,0.805
14.567,static,VCCINT_I,A,4.6244
14.567,static,VCCINT,W,3.7845
14.567,static,VCC_SOC_V,V,0.8062
14.567,static,VCC_SOC_I,A,3.9347
14.567,static,VCC_SOC,W,3.1664
14.617,static,VCC_PMC_V,V,0.8775
14.617,static,VCC_PMC_I,A,0.152
14.617,static,VCC_PMC,W,0.1328
14.617,static,VCC_PSFP_V,V,0.8813
14.617,static,VCC_PSFP_I,A,0.19
14.617,static,VCC_PSFP,W,0.1679
14.617,static,VCC_PSLP_CPM5_V,V,0.8788
14.617,static,VCC_PSLP_CPM5_I,A,1.9585
14.617,static,VCC_PSLP_CPM5,W,1.7213
14.617,static,VCC1V1_LP4_V,V,1.1025
14.617,static,VCC1V1_LP4_I,A,1.09
14.668,static,VCC1V1_LP4,W,1.2032
14.668,static,VCCAUX_V,V,1.5025
14.668,static,VCCAUX_I,A,0.758
14.668,static,VCCAUX,W,1.1414
14.668,static,VCCAUX_PMC_V,V,1.5025
14.668,static,VCCAUX_PMC_I,A,0.0875
14.668,static,VCCAUX_PMC,W,0.132
